
MENUJU INDONESIA YANG LEBIH HIJAU DENGAN BIO-FUEL in period : 20070101,20070331 inserted  
Ford Optimis Dengan Peluang Di Sumatera Utara in period : 20091001,20091231 inserted  
Top Gear Indonesia Menobatkan Ford Focus TDCi sebagai Car of the Year 2009 in period : 20100101,20100331 inserted  
Generasi Terbaru Ford Focus Memperlihatkan Pendekatan Pengembagan Produk Unik Dari Ford Global DNA in period : 20100101,20100331 inserted  
Merancang Focus Terbaru: Tim Spesialis Kendaraan Dinamis Ford Menciptakan Kualitas Berkendara yang Tidak Tertandingi in period : 20100101,20100331 inserted  
Generasi Terbaru Ford Focus Diluncurkan in period : 20100101,20100331 inserted  
Ford Menyiapkan Untuk Manufaktur Focus di Berbagai Negara Sesuai Dengan Peningkatan Global Product Plan in period : 20100101,20100331 inserted  
Debut Global Ford Focus Menampilkan Teknologi Mesin Yang Efisien Dalam Konsumsi Bahan Bakar in period : 20100101,20100331 inserted  
Generasi Terbaru Ford Focus Menawarkan Teknologi Tercanggih MyFord in period : 20100101,20100331 inserted  
Global Focus &ndash; Jajaran Produk Terbaru Segmen C Ford Siap Mencapai Skala Yang Belum Pernah Diraih Sebelumnya in period : 20100101,20100331 inserted  
Focus : Sejarah Dari Mobil Ford C-Segment in period : 20100101,20100331 inserted  
Layanan 24 jam Ford memastikan kenyamanan mudik Lebaran in period : 20100701,20100930 inserted  
Exciting New Next-Generation Ford Focus Gears Up For Launch in period : 20101001,20101231 inserted  
Focus ST Berperforma Tinggi Masuk Dalam Jajaran Ford Focus Baru Yang Akan Diluncurkan Di Paris Motor Show in period : 20101001,20101231 inserted  
Focus ST Berperforma Tinggi Masuk dalam Jajaran Ford Focus Baru yang akan Diluncurkan di Paris Motor Show in period : 20101001,20101231 already in  
Global Reveal Of New High-Performance Ford Focus ST at Paris Show in period : 20101001,20101231 inserted  
Ford Focus ST Berperforma Tinggi Masuk dalam Jajaran Atas Focus Baru yang akan Diluncurkan di Paris Motor Show in period : 20101001,20101231 inserted  
Ford Fiesta Menjadi yang Pertama di Segmennya yang Mendapatkan Peringkat Keamanan Teratas di Pasar-Pasar Otomotif Terbesar Dunia in period : 20110101,20110331 inserted  
Fiesta Baru &ndash; Satu Juta Unit Terjual di Eropa dan Terus Bertambah! in period : 20110101,20110331 inserted  
Ford Motor Indonesia Mengejutkan Pelanggan Menyerahkan Ford Fiesta Ke-1.500 di Dealer Ford Jakarta-Selatan in period : 20110101,20110331 inserted  
Majalah TOP GEAR menganugerahkan gelar &lsquo;Hatch of the Year 2010&rsquo; kepada Ford Fiesta in period : 20110101,20110331 inserted  
Ford Motor Indonesia Menutup 2010 Dengan Kuat - Meraih Tahun Penjualan Terbaik in period : 20110101,20110331 inserted  
Ford melaporkan penjualan bulan April terbaik meningkat 202 persen in period : 20110401,20110630 inserted  
Ford&rsquo;s best-ever March sales jump 200 percent on strong sales across Ford&rsquo;s entire lineup in period : 20110401,20110630 inserted  
Ford Motor Indonesia Keeps Drivers Safely on the Move during Eid in period : 20110701,20110930 inserted  
Permintaan terhadap Fiesta dan Ranger Mendorong Kenaikan Penjualan Ford di Bulan Oktober Sebesar 79 Persen in period : 20111001,20111231 inserted  
Ford Fiesta Mencapai 23.19 Km/L Pada Tantangan Uji Keiritan Bahan Bakar in period : 20111001,20111231 inserted  
Ford Fokus Pada Pelestarian Lingkungan Untuk Global Week of Caring in period : 20111001,20111231 inserted  
Ranger dan Fiesta Mendorong Kenaikan Penjualan Ford Sebesar 140 Persen di Bulan September in period : 20111001,20111231 inserted  
All-New Fiesta Sedan Hadir di Showroom Ford di Seluruh Indonesia in period : 20120101,20120331 inserted  
Ford menegaskan bahwa All-New EcoSport akan menjadi kendaraan ketiga dari delapan kendaraan global One Ford baru untuk ASEAN hingga pertengahan dasawarsa in period : 20120101,20120331 inserted  
Angka Penjualan Ford Indonesia di Bulan Mei Naik 23 Persen in period : 20120401,20120630 inserted  
Ford Fiesta Pimpin Penjualan Bulan April in period : 20120401,20120630 inserted  
Ford Motor Indonesia Merayakan Penjualan Ke 10,000 Ford Fiesta di Indonesia in period : 20120401,20120630 inserted  
Para Pengemudi di Indonesia Dapat Menguji All-New Ford Ranger di Kampanye Global Ranger Challenge in period : 20120401,20120630 inserted  
Ford Driving Skills for Life Mengingatkan untuk Berkendara Secara Aman dan Hemat Bahan Bakar Saat Mudik Lebaran in period : 20120701,20120930 inserted  
All-New Ranger Dorong Penjualan Ford Indonesia di Bulan Agustus in period : 20120701,20120930 inserted  
All-New Focus, Kendaraan ke-350 Juta Ford adalah Kendaraan Terlaris di Dunia; Perusahaan Menetapkan Pertumbuhan Global yang Agresif in period : 20120701,20120930 inserted  
Penjualan Ford Indonesia Naik 23 Persen di Bulan Juli; All-New Ranger, All-New Fiesta Dorong Kinerja in period : 20120701,20120930 inserted  
Memberikan "Peace of Mind" untuk Pelanggan, Ford Luncurkan Lebaran Siaga 2012 in period : 20120701,20120930 inserted  
Penjualan Ford Indonesia Naik 51 Persen di Bulan Juni in period : 20120701,20120930 inserted  
Pemenang Mingguan Voting Ford Global Ranger Challenge in period : 20120701,20120930 inserted  
Karyawan Ford Indonesia Merasakan Pengalaman Berkendara bersama All-New Ranger in period : 20120701,20120930 inserted  
Pemenang Ford Xtraordinary in period : 20120701,20120930 inserted  
All-new Focus Memenangkan Penghargaan &lsquo;Best Medium Sedan&rsquo; ICOTY 2012 in period : 20121001,20121231 inserted  
Ford Indonesia Mengumumkan Pemenang Kampanye &lsquo;All-New Ford Focus&hellip; Start it. Share it. Win it.&rsquo; in period : 20121001,20121231 inserted  
Autobild Memberikan Gelar &lsquo;Car of the Year 2012&rsquo; kepada All-New Ford Focus in period : 20121001,20121231 inserted  
Penjualan Ford Indonesia Naik 24 Persen di Bulan September in period : 20121001,20121231 inserted  
Ford Mengurangi Penggunaan Air Secara Global Sebesar 8,5 Persen per Kendaraan Dari 2011 Sampai 2012; Total Penggunaan Turun 62 Persen Sejak 2000 in period : 20130101,20130331 inserted  
Ford akan Menyoroti Strategi Pertumbuhan Berbasis Produk di Bangkok Motor Show ke-34 in period : 20130101,20130331 inserted  
Ribuan Lagi Pengendara di Seluruh Dunia Akan Berpartisipasi dalam 'Ford Driving Skills for Life' di Tahun 2013 in period : 20130101,20130331 inserted  
Ford Dinobatkan Sebagai Salah Satu dari 50 Perusahaan Paling Inovatif di Dunia oleh Fast Company in period : 20130101,20130331 inserted  
Ford Mengundang Para Pengemudi di Seluruh Indonesia untuk Merasakan Konektivitas Superior yang Dimiliki All-New Focus, All-New Ranger dan Ford Fiesta di Kampanye &lsquo;Drive-Connect- Win&rsquo; in period : 20130101,20130331 inserted  
Ford Indonesia Menyelenggarakan Kegiatan &ldquo;National Skills Contest 2012&rdquo; in period : 20130101,20130331 inserted  
Ford Motor Indonesia Menyerahkan All-New Focus Baru Kepada Pemenang &lsquo;Drive - Connect - Win&rsquo; in period : 20130401,20130630 inserted  
Ford Tampilkan Smarter Way to Get There di Computex 2013 in period : 20130401,20130630 inserted  
Ford Indonesia Mengumumkan Pemenang Kampanye &lsquo;Drive &ndash; Connect &ndash; Win&rsquo; in period : 20130401,20130630 inserted  
Ford Motor Company Secara Resmi Beroperasi di Myanmar in period : 20130401,20130630 inserted  
Ford Menangkan Penghargaan 'Best Traditional-to-Mobile Transition' di Global Mobile Internet Conference in period : 20130401,20130630 inserted  
Memberikan Layanan Tulus, Jaringan Dealer Ford Menerima Penghargaan &lsquo;Service-to-Care&rsquo; in period : 20130401,20130630 inserted  
Ford Indonesia Meraih Empat Penghargaan &lsquo;Editor&rsquo;s Pick Awards&rsquo; dari Carmall Car Buyers Guide 2012 in period : 20130401,20130630 inserted  
Ford Indonesia Meraih Tiga Penghargaan di Ajang Autocar Indonesia Readers Choice Awards 2013 in period : 20130401,20130630 inserted  
Mesin EcoBoost 1.0 Liter Pemenang Banyak Penghargaan Hadir di ASEAN pada Ford Fiesta Baru in period : 20130401,20130630 inserted  
Ford Menyelenggarakan Penampilan Perdana All-New EcoSport di ASEAN dalam Acara Bangkok International Motor Show ke-34; Melanjutkan Strategi Pertumbuhan Berbasis Produk in period : 20130401,20130630 inserted  
10.000 Sukarelawan Ford Bersatu untuk Masyarakat dalam Kegiatan Tahunan Ford Global Week of Caring Ke-8 in period : 20130701,20130930 inserted  
Menyediakan Fitur dan Teknologi Pintar Terbaik di Kelasnya, Ford Focus Meraih New Wave Care Award 2013 in period : 20130701,20130930 inserted  
Ford Meluncurkan New Fiesta, Menampilkan All-New EcoSport di IIMS in period : 20130701,20130930 inserted  
Ford Mengumumkan Harga Menarik New Fiesta untuk Indonesia di IIMS in period : 20130701,20130930 inserted  
Ford Mengumumkan Kampanye Pra-peluncuran yang Menarik untuk New Fiesta &ndash; Mengundang Konsumen untuk Menemukan Archetype Fiesta 24-Hour Mereka in period : 20130701,20130930 inserted  
Ford Luncurkan Lebaran Siaga 2013 untuk Memberikan &ldquo;Peace of Mind&rdquo; kepada Pelanggan in period : 20130701,20130930 inserted  
Permintaan Pelanggan Asia Pasifik atas Solusi Ramah Lingkungan Dorong Pertumbuhan Pesat Mesin Ford Ecoboost in period : 20130701,20130930 inserted  
Ford Terus Perluas Jaringan Dealer Nasional &ndash; Membuka Empat Dealer Baru in period : 20130701,20130930 inserted  
Ford Memperkenalkan New Everest dengan Eksterior dan Interior yang Lebih Modern, serta Cruise Control in period : 20130701,20130930 inserted  
FLOCK &ldquo;Ford Laser Community&rdquo; Menggelar Family Gathering di Jatiluhur in period : 20130701,20130930 inserted  
All-new Ford Focus Memenangkan &lsquo;Best Medium Sedan&rsquo; di AutoBild Awards 2013 in period : 20131001,20131231 inserted  
Ford Indonesia Menyelenggarakan Kegiatan National Skills Contest &lsquo;Ford Olympics&rsquo; 2013 in period : 20131001,20131231 inserted  
Ford Indonesia Mengumumkan Para Pemenang Kampanye &lsquo;Fiesta 24-Hour&rsquo; in period : 20131001,20131231 inserted  
Ford Focus Terus Perpanjang Gelar Sebagai Merek Produk Kendaraan Terlaris di Seluruh Dunia Sepanjang Paruh Pertama 2013 in period : 20131001,20131231 inserted  
Ford Mengadakan Driving Skills for Life untuk Prajurit Angkatan Laut Indonesia in period : 20131001,20131231 inserted  
Ford Menduduki Peringkat Teratas Dalam Layanan Purna Jual di Indonesia Menurut Survei Kepuasan Pelanggan J.D. Power Tahun 2013 in period : 20131001,20131231 inserted  
Ford Indonesia Meluncurkan New Ford Fiesta dengan Mesin 1.0L EcoBoost in period : 20140101,20140331 already in  
Ford Menampilkan All-New EcoSport di Pameran Otomotif Medan in period : 20140101,20140331 already in  
FMI Mengumumkan Dealer of the Year 2013 in period : 20140101,20140331 already in  
Pertumbuhan Dua Digit Memperkuat Kepemimpinan Ford Focus Sebagai Nameplate Kendaraan Terlaris di Dunia in period : 20140101,20140331 already in  
Ford Menawarkan Program Spesial untuk Memberikan &lsquo;Peace of Mind&rsquo; Kepada Konsumen yang Terkena Musibah Banjir in period : 20140101,20140331 inserted  
Ford Mencapai Rekor Kinerja untuk ASEAN pada tahun 2013 in period : 20140101,20140331 already in  
Ford Mengaspirasi Konsumen Indonesia Menyiapkan Panggung Peluncuran all-new EcoSport Melalui Kampanye Urban Discoveries in period : 20140101,20140331 already in  
Ford Mengaspirasi Konsumen Indonesia Menyiapkan Panggung Peluncuran all-new EcoSport Melalui Kampanye Urban Discoveries in period : 20140101,20140331 already in  
